# Auto-generated offline OUI vendor mapping
# Generated by: tools/Import-OuiDataset.ps1
# Format: OUI,VENDOR
# OUI is 6 hex digits (first 3 bytes of a MAC)
# Source file: .\manuf

0002B2,Cablevision  Cablevision
0002B3,Intel        Intel Corporation
0002B4,Daphne       Daphne
0002B5,Inc.
0002B6,Ltd.
0002B7,Ltd.
0002B8,WhiKonsult   Whi Konsult Ab
0002B9,Inc
0002BA,Inc
0002BB,ContinuousCo Continuous Computing Corp
0002BC,Inc.
0002BD,Ltd.
0002BE,Inc.
0002BF,Inc.
0002C0,Ltd.
0002C1,Inc.
0002C2,NetVisionTel Net Vision Telecom
0002C3,Arelnet      Arelnet Ltd.
0002C4,Ltd
0002C5,EvertzMicros Evertz Microsystems Ltd.
0002C6,DataTrackTec Data Track Technology PLC
0002C7,.Ltd
0002C8,TechnocomCom Technocom Communications Technology (pte) Ltd
0002C9,Inc.
0002CA,Inc.
0002CB,TriState     TriState Ltd.
0002CC,MCCI         M.C.C.I
0002CD,Inc.
0002CE,Inc.
0002CF,Inc.
0002D0,Comdial      Comdial Corporation
0002D1,Inc.
0002D2,Workstation  Workstation AG
0002D3,Inc.
0002D4,Inc.
0002D5,Acr          Acr
0002D6,NICE         NICE Systems
0002D7,EMPEG        EMPEG Ltd
0002D8,BRECISCommun BRECIS Communications Corporation
0002D9,ReliableCont Reliable Controls
0002DA,Inc.
0002DB,Netsec       Netsec
0002DC,GENERAL      GENERAL Inc.
0002DD,Ltd.
0002DE,Inc.
0002DF,Inc.
0002E0,ETAS         ETAS GmbH
0002E1,IntegratedNe Integrated Network Corporation
0002E2,NDCInfaredEn NDC Infared Engineering
0002E3,Inc.
0002E4,Inc.
0002E5,Timeware     Timeware Ltd.
0002E6,Inc.
0002E7,CAB          CAB GmbH & Co KG
0002E8,ED&A         E.D.&A.
0002E9,CSSystemesDe CS Systemes De Securite - C3S
0002EA,FocusEnhance Focus Enhancements
0002EB,PicoCommunic Pico Communications
0002EC,MaschoffDesi Maschoff Design Engineering
0002ED,Ltd.
0002EE,NokiaDanmark Nokia Danmark A/S
0002EF,CCCNetworkGr CCC Network Systems Group Ltd.
0002F0,Ltd.
0002F1,Ltd.
0002F2,Inc.
0002F3,Ltd.
0002F4,Inc.
0002F5,Inc.
0002F6,EquipeCommun Equipe Communications
0002F7,Arm          Arm
0002F8,Inc.
0002F9,MIMOSBerhad  MIMOS Berhad
0002FA,Ltd.
0002FB,BaumullerAul Baumuller Aulugen-Systemtechnik GmbH
0002FC,Inc
0002FD,Inc
0002FE,Inc.
0002FF,HandanBroadI Handan BroadInfoCom
000300,Inc.
000301,Exfo         Exfo
000302,CharlesIndus Charles Industries
000303,Ltd.
000304,PacificBroad Pacific Broadband Communications
000305,MSCVertriebs MSC Vertriebs GmbH
000306,Ltd.
000307,Inc.
000308,Inc.
000309,TexcelTechno Texcel Technology PLC
00030A,ArgusTechnol Argus Technologies
00030B,Inc.
00030C,TelesoftTech Telesoft Technologies Ltd.
00030D,UniwillCompu Uniwill Computer Corp.
00030E,Ltd.
00030F,DigitalChina Digital China (Shanghai) Networks Ltd.
000310,EGlobaledge  E-Globaledge Corporation
000311,Ltd.
000312,TRsystems    TRsystems GmbH
000313,AccessMedia  Access Media SPA
000314,TelewareNetw Teleware Network Systems
000315,Cidco        Cidco Incorporated
000316,Inc.
000317,Inc.
000318,Inc.
000319,Infineon     Infineon AG
00031A,China
00031B,Inc.
00031C,SvenskaHardv Svenska Hardvarufabriken AB
00031D,Inc.
00031E,Inc.
00031F,Condev       Condev Ltd.
000320,Inc.
